ticker,company_name,fiscal_year,source_page,source_url,remote_filename,local_path,sha256,bytes_downloaded,page_count,detected_years,discovery_method,validation_status,status,error
CLH,City Lodge Hotels Limited,2025,https://citylodgehotels.com/investors/financial-results,,,,,0,,,archive_page,not_checked,not_discovered,
ART,Argent Industrial Limited,2016,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2017,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2018,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2019,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2020,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2021,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2022,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2023,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2024,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
ART,Argent Industrial Limited,2025,https://argent.co.za/category/annual-reports/,,,,,0,,,paginated_archive,not_checked,not_discovered,
SDL,Southern Palladium Limited,2016,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2017,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2018,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2019,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2020,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2021,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2022,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2023,https://www.southernpalladium.com/investor-centre/annual-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
SDL,Southern Palladium Limited,2024,https://www.southernpalladium.com/investor-centre/annual-reports/,https://www.southernpalladium.com/wp-content/uploads/2024/10/2024AnnualReporttoShareholders.pdf,2024AnnualReporttoShareholders.pdf,data/raw/SDL/2024/annual_report.pdf,0d0cf2fc78aba342eeda09622a8213a9783ef4947a0f3ad3714c67707ae08e37,3963718,60,2004;2018;2024,archive_page,year_confirmed,downloaded,
SDL,Southern Palladium Limited,2025,https://www.southernpalladium.com/investor-centre/annual-reports/,https://www.southernpalladium.com/wp-content/uploads/2025/10/Southern-Palladium-2025-Annual-Report-to-Shareholders.pdf,Southern-Palladium-2025-Annual-Report-to-Shareholders.pdf,data/raw/SDL/2025/annual_report.pdf,42e61e20bb8595083ec9af72f6ee4aceb28874002d2312de5daae42e102b31bd,3289027,58,1998;2002;2004;2008;2018;2025;2026,archive_page,year_confirmed,downloaded,
ACT,AfroCentric Investment Corporation Limited,2016,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2017,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2018,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2019,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2020,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2021,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2022,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2023,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2024,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ACT,AfroCentric Investment Corporation Limited,2025,https://www.afrocentric.za.com/archive/,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2016,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2017,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2018,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2019,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2020,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2021,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2022,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2023,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2024,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
ISA,ISA Holdings Limited,2025,https://www.isa.co.za/investors.html,,,,,0,,,archive_page,not_checked,not_discovered,
